maximum,sku,Cost,Color,length,width,height,weight,title,url,review,Product detail,Return Policy,Date and Time,Brand
5,ND-LS,79.00,,,,,500g,Laptop Stand and Riser,https://navodesk.com/product/laptop-stand-and-riser/,0,,"We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,ND-DSK-HC,70.00,,,,,400g,Desk Accessory Clamp,https://navodesk.com/product/desk-accesory-clamp/,0," Premium Quality Desk Accessory Clamp, Headphone Clamp, Headphone Stand, Headphone Holder, Under Desk Space Saving Mount, Universal Fit All Headphones, Bags, etc – Black. ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,DMDL-DRL,200.00,,,,,1.2kg,Desk Retro Lamp,https://navodesk.com/product/desk-retro-lamp/,0,"Desk Retro Lamp, Wooden Vintage Table Lamp Decorative Night Lamp By ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,Daamudi
6,ND-RPF,550,black,,,,25kg,"Basic Desk Frame By Navodesk, Manual Height Adjustable Desk Frame, Underframe for table top (Pin type) (white)",https://navodesk.com/product/height-adjustable-desk-frame-manual/,0,Basic Desk Frame By ,"We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,ND-DO-WT,200.00,,,,,5.2kg,Navodesk Desk Organizer,https://navodesk.com/product/navodesk-desk-organizer/,0, Desk Organizer – Compact Solution with Drawer and Bookend for a Clutter-Free Workspace,"We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
8,ND-RPF,550,grey,,,,25kg,"Basic Desk Frame By Navodesk, Manual Height Adjustable Desk Frame, Underframe for table top (Pin type) (Black)",https://navodesk.com/product/height-adjustable-desk-frame-manual/,0,Basic Desk Frame By ,"We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,ND-RPF,550,white,,,,25kg,"Basic Desk Frame By Navodesk, Manual Height Adjustable Desk Frame, Underframe for table top (Pin type) Grey",https://navodesk.com/product/height-adjustable-desk-frame-manual/,0,Basic Desk Frame By ,"We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
7,ND-NIO,790,Beige Grey,,,,21,"NIO Chair, Ergonomic Design, Premium Office &amp; Computer Chair with adjustable features by Navodesk",https://navodesk.com/product/nio-chair/,0,"NIO Chair, Ergonomic Design, Premium Office & Computer Chair with adjustable features by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
,ND-MP3,650,Black,,,,19.2kg,"Mobile Pedestal, 3-Drawer File Cabinet, Under desk Drawer with Castor Wheels by Navodesk (Black, Beige Cushion)",https://navodesk.com/product/mobile-pedestal/,0,"Mobile Pedestal, 3-Drawer File Cabinet, Under desk Drawer with Castor Wheels by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
4,ND-CLOUD,855,Coral Red,,,,17kg,"Cloud Chair, Single Seater Sofa, Lounge &amp; Waiting Chair, Modern Fabric Armchair by Navodesk (Coral Red)",https://navodesk.com/product/cloud-chair/,0,"Cloud Chair, Single Seater Sofa, Lounge & Waiting Chair, Modern Fabric Armchair by ","We deliver our Products in UAE & to other GCC countries. Shipping will be done by a third-party courier. Delivery within UAE will be in 1 – 3 working days and from 3 to 12 working Days to Other Countries depending on the location. UAE Delivery will be free for most of the products and Delivery Fees outside UAE will be mentioned on the checkout page depending on the product, country and location. Avoid any delivery delay by providing your full address along with your contact details.",Apr-28-2023 19:10:35,NAVODESK
